ORIGSYSREF,ORDERNUMBER,COUNTRY,BOOKINGDATE,ORDERTYPE,KEYCODE,SALESCHANNEL,SOURCE,MEDIUM,CAMPAIGN,DEVICE,TOPLEVELCATEGORY,ORDERS,REVENUE_NET_LCL,REVENUE_NET_USD,REVENUE_NET_USD_CONS_CURR,FTBS,FTB_REVENUE_NET_LCL,FTB_REVENUE_NET_USD,FTB_REVENUE_NET_USD_CONS_CURR,PRODUCT_REVENUE_LCL,PRODUCT_REVENUE_USD_CONS_CURR,PRODUCTS,QUANTITY,DISCOUNT_LCL,DISCOUNT_USD_CONS_CURR,DISCOUNTED_ORDER,ITEMCOST_LCL,ITEMCOST_USD,ITEMCOST_USD_CONS_CURR,GROSS_MARGIN_LCL,GROSS_MARGIN_USD,RN,CHANNEL_L1,BBSTATUS
44092072908,44092072908,US,12/05/22,WB-CATALOG,NPC NA,WB,google,cpc,shopping-smart-in-house-pens-high-margin,mobile,web,1,146.99,146.99,146.99,1,146.99,146.99,146.99,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Shopping,INITIAL
ONSU7JG-01J23-2J4,52117603,AT,07/11/24,WBAT_ABC WEB ORDER,,WB,google,cpc,brand-at-de-search-np,desktop,web,1,588.97,630.1979,665.5361,0,0,0,0,449.9770791,508.4740994,2.99962421,399.9795395,112.49427,127.118525,52117603,308.7342751,330.4637735,348.8697309,280.22,299.8379,1,Paid Search - Brand,INITIAL
42987614725,42987614725,US,11/04/21,WB-CATALOG MB,NPC NA,WB,bing,cpc,**shopping - pens in-house*,desktop,web,1,210,210,210,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Shopping,INITIAL
C17802290JNYC013000789,21477298,FR,12/04/19,FR_COE-WEB-EMAIL,JNYC01,WB,,,,,email,-1,-611.99,-692.1931,-691.5487,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,UPDATE
ONOE0SZ-07W65-8U8,51078804,US,22/04/24,WEB-EMAIL,TUSMTM,WB,email,webpush,20240422_us_uevflashsale_remail_remaining,desktop,web,1,136.24,136.24,136.24,0,0,0,0,90.45935182,90.45935182,1.00177272,65.11468184,0,0,,15.4973,15.4973,15.4973,120.77,120.77,1,Email Web Push,INITIAL
ONLH8FC-40T42-2H7,51669887,US,06/09/24,TMT Inbound WB-NPC MB,,WB,,,,,inbound,1,560.95,560.95,560.95,0,0,0,0,454.9594455,454.9594455,1.00017385,249.9778314,0,0,,262.4766051,262.4766051,262.4766051,298.45,298.45,1,Web Inbound,INITIAL
5361700965,5361700965,US,13/06/19,TMT Inbound WB-NPC,NPC NA,WB,,,,,inbound,1,108.49,108.49,108.49,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,INITIAL
43617793076,43617793076,CA,25/05/22,WB-CATALOG-PPC MB,NPC NA,WB,email,poc,ppc_052422_1js_pfp,desktop,email,1,309.34,240.8391,222.7248,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,INITIAL
ONMT9NQ-68P46-9C8,51733852,FR,18/09/24,FR_TM TUNIS,,TM,,,,,,1,98.49,105.3843,111.2937,0,0,0,0,97.86664596,110.5893099,1.24668642,62.33540439,0,0,,791.1614428,34.2248055,894.0124304,-536.11,78.1043,1,TM,INITIAL
41462381835,41462381835,US,04/09/18,WB-CATALOG,NPC NA,WB,,,,,web,-1,-544,-544,-544,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,No-Match,UPDATE
