ORIGSYSREF,BBSTATUS,FTBIND,ORDERDATE,COUNTRYCODE,ORDERS,REVENUE_NET_USD_CONS_CURR,SALESCHANNEL,TP_DATE,TX_DEVICE,CHANNELS,SOURCE,MEDIUM,CAMPAIGN,COEFFICIENTS,TP_WEIGHT,WEIGHTED_COEFFICIENTS,Total_coeff,Normalized_coeff,Normalized_Revenue
ONAA9UG-83D22-6G7,INITIAL,0,09/04/25,DE,1,593.7246,WB,14/03/25,desktop,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.046067939,1,0.046067939,0.281529339,0.163634592,97.15388271
ONAA9UG-83D22-6G7,INITIAL,0,09/04/25,DE,1,593.7246,WB,02/04/25,desktop,Paid Search - Brand,bing,cpc,Brand-DE-DE-SEARCH-NP-Products-bing,0.117729176,1,0.117729176,0.281529339,0.418177291,248.2821447
ONAA9UG-83D22-6G7,INITIAL,0,09/04/25,DE,1,593.7246,WB,02/04/25,desktop,Direct,(direct),(none),(not set),0.304792927,1.00E-05,3.05E-06,0.281529339,1.08E-05,0.006427858
ONAA9UG-83D22-6G7,INITIAL,0,09/04/25,DE,1,593.7246,WB,09/04/25,desktop,Paid Search - Brand,bing,cpc,Brand-DE-DE-SEARCH-NP-bing,0.117729176,1,0.117729176,0.281529339,0.418177291,248.2821447
ONUL7BG-07Z06-7P0,INITIAL,0,30/01/26,US,1,822.31,WB,16/01/26,desktop,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.024520731,1.00E-10,2.45E-12,3.84E-06,6.38E-07,0.000524675
ONUL7BG-07Z06-7P0,INITIAL,0,30/01/26,US,1,822.31,WB,30/01/26,desktop,Direct,(direct),(none),(not set),0.337940259,1.00E-05,3.38E-06,3.84E-06,0.879349787,723.0981233
ONUL7BG-07Z06-7P0,INITIAL,0,30/01/26,US,1,822.31,WB,30/01/26,desktop,EMAIL_TX,email,art_review,logo_modified_us,0.046366473,1.00E-05,4.64E-07,3.84E-06,0.120649575,99.21135201
ONDL5WU-14S94-6F2,INITIAL,0,15/01/26,FR,1,1124.3387,TM,09/01/26,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.089813801,1.00E-10,8.98E-12,0.143483023,6.26E-11,7.04E-08
ONDL5WU-14S94-6F2,INITIAL,0,15/01/26,FR,1,1124.3387,TM,15/01/26,non-digital,TM_CRM,tm_crm,tm_crm,tm_crm,0.143483023,1,0.143483023,0.143483023,1,1124.3387
ONKM4QW-11E99-2A9,INITIAL,0,04/06/25,FR,1,992.1287,TM,09/05/25,non-digital,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.043263965,1,0.043263965,0.043263965,1,992.1286998
ONKM4QW-11E99-2A9,INITIAL,0,04/06/25,FR,1,992.1287,TM,30/05/25,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.089813801,1.00E-10,8.98E-12,0.043263965,2.08E-10,2.06E-07
ONDB9YU-25K77-5L4,INITIAL,0,13/05/25,US,1,225.57,WB,12/05/25,desktop,Paid Search - Brand,bing,cpc,Brand-US-T1-Pure,0.067766384,1,0.067766384,0.067770227,0.999943293,225.5572085
ONDB9YU-25K77-5L4,INITIAL,0,13/05/25,US,1,225.57,WB,13/05/25,desktop,EMAIL_TX,email,transactional,Order_Personalization,0.046366473,1.00E-05,4.64E-07,0.067770227,6.84E-06,0.001543286
ONDB9YU-25K77-5L4,INITIAL,0,13/05/25,US,1,225.57,WB,13/05/25,desktop,Direct,(direct),(none),(not set),0.337940259,1.00E-05,3.38E-06,0.067770227,4.99E-05,0.011248182
ONBS3RJ-06L13-5S8,INITIAL,0,03/03/26,US,1,185.86,WB,02/03/26,tablet,Social Media,Facebook,Paid_Social,US_English_Meta_Q2_Prospecting_Sales__AdvantagePlus_MultiProduct_1Day_Consolidated,0.056813328,1,0.056813328,0.056813328,1,185.86
ONED9OY-64R34-3A2,INITIAL,0,08/01/26,US,1,239.27,WB,08/01/26,mobile,Email Web Push,email,webpush,20251220_US_Clearance_ch,0.088485317,1,0.088485317,0.135242693,0.654270591,156.5473244
